index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.601,0.768,9,-8.718,1,0.0329,0.0785,0.712,0.0771,0.887,130.342,audio_features,20goDx14UZviYtCPtLbqvs,spotify:track:20goDx14UZviYtCPtLbqvs,https://api.spotify.com/v1/tracks/20goDx14UZviYtCPtLbqvs,https://api.spotify.com/v1/audio-analysis/20goDx14UZviYtCPtLbqvs,295250,4
1,0.602,0.776,9,-9.204,1,0.0311,0.129,0.77,0.193,0.923,129.458,audio_features,1FyfPd5AMMjrorTdu3wASG,spotify:track:1FyfPd5AMMjrorTdu3wASG,https://api.spotify.com/v1/tracks/1FyfPd5AMMjrorTdu3wASG,https://api.spotify.com/v1/audio-analysis/1FyfPd5AMMjrorTdu3wASG,297160,4
2,0.623,0.787,0,-6.629,1,0.0365,0.000257,0.686,0.0408,0.768,129.99,audio_features,2XrIWcOPQMwXAxCYQam6jN,spotify:track:2XrIWcOPQMwXAxCYQam6jN,https://api.spotify.com/v1/tracks/2XrIWcOPQMwXAxCYQam6jN,https://api.spotify.com/v1/audio-analysis/2XrIWcOPQMwXAxCYQam6jN,314427,4
3,0.591,0.791,9,-7.421,0,0.033,0.00238,0.723,0.0612,0.815,130.142,audio_features,52PMeKpMnfn7w0aETAMD3a,spotify:track:52PMeKpMnfn7w0aETAMD3a,https://api.spotify.com/v1/tracks/52PMeKpMnfn7w0aETAMD3a,https://api.spotify.com/v1/audio-analysis/52PMeKpMnfn7w0aETAMD3a,523989,4
4,0.488,0.98,7,-2.842,1,0.0884,0.00516,0.765,0.0875,0.441,147.066,audio_features,6LaGLwZapKGZLGWvfu2k3Y,spotify:track:6LaGLwZapKGZLGWvfu2k3Y,https://api.spotify.com/v1/tracks/6LaGLwZapKGZLGWvfu2k3Y,https://api.spotify.com/v1/audio-analysis/6LaGLwZapKGZLGWvfu2k3Y,267787,4
5,0.579,0.827,5,-5.662,1,0.0298,6.85e-05,0.0345,0.122,0.353,130.045,audio_features,2yUkX5Ea2NwodDJPvvsTxR,spotify:track:2yUkX5Ea2NwodDJPvvsTxR,https://api.spotify.com/v1/tracks/2yUkX5Ea2NwodDJPvvsTxR,https://api.spotify.com/v1/audio-analysis/2yUkX5Ea2NwodDJPvvsTxR,278360,4
6,0.601,0.768,9,-8.718,1,0.0329,0.0785,0.712,0.0771,0.887,130.342,audio_features,7hUJwSsOySplSXvagzQwQZ,spotify:track:7hUJwSsOySplSXvagzQwQZ,https://api.spotify.com/v1/tracks/7hUJwSsOySplSXvagzQwQZ,https://api.spotify.com/v1/audio-analysis/7hUJwSsOySplSXvagzQwQZ,295250,4
7,0.532,0.98,7,-7.074,1,0.0363,0.000403,0.0532,0.0763,0.614,137.965,audio_features,1AhJWvjtWiVBZkQZWmqIML,spotify:track:1AhJWvjtWiVBZkQZWmqIML,https://api.spotify.com/v1/tracks/1AhJWvjtWiVBZkQZWmqIML,https://api.spotify.com/v1/audio-analysis/1AhJWvjtWiVBZkQZWmqIML,277386,4
8,0.61,0.798,2,-9.248,0,0.038,0.00511,0.775,0.0533,0.783,130.351,audio_features,3kJDfttDmnaMEU4gKyZRJU,spotify:track:3kJDfttDmnaMEU4gKyZRJU,https://api.spotify.com/v1/tracks/3kJDfttDmnaMEU4gKyZRJU,https://api.spotify.com/v1/audio-analysis/3kJDfttDmnaMEU4gKyZRJU,591288,4
9,0.636,0.661,9,-8.477,1,0.0308,0.00179,0.525,0.0839,0.921,130.191,audio_features,7meEHt7fPaPqFaHOgk0zcS,spotify:track:7meEHt7fPaPqFaHOgk0zcS,https://api.spotify.com/v1/tracks/7meEHt7fPaPqFaHOgk0zcS,https://api.spotify.com/v1/audio-analysis/7meEHt7fPaPqFaHOgk0zcS,333013,4
